order_id,customer_id,product_id,store_id,region,sales_channel,order_date,quantity,unit_price,discount
1000,C0103,P040,S02,West,Offline,2023-01-01,2,210,0.05
1001,C0180,P049,S02,East,Online,2023-01-02,2,976,0.0
1002,C0093,P044,S02,West,Online,2023-01-03,1,1977,0.1
1003,C0015,P019,S02,North,Offline,2023-01-04,1,1166,0.15
1004,C0107,P042,S02,East,Offline,2023-01-05,3,310,0.15
1005,C0072,P041,S02,South,Offline,2023-01-06,3,1323,0.05
1006,C0189,P037,S04,East,Online,2023-01-07,5,1933,0.05
1007,C0021,P006,S01,East,Online,2023-01-08,1,957,0.15
1008,C0103,P026,S03,Central,Online,2023-01-09,5,1875,0.05
1009,C0122,P034,S05,East,Offline,2023-01-10,4,726,0.1
1010,C0075,P045,S03,East,Online,2023-01-11,5,1149,0.05
1011,C0088,P006,S03,West,Offline,2023-01-12,2,398,0.05
1012,C0117,P037,S01,South,Online,2023-01-13,5,1200,0.15
1013,C0100,P033,S01,West,Offline,2023-01-14,3,1023,0.15
1014,C0104,P022,S01,West,Online,2023-01-15,4,236,0.0
1015,C0152,P021,S02,North,Online,2023-01-16,2,1143,0.0
1016,C0131,P006,S04,West,Online,2023-01-17,5,539,0.15
1017,C0150,P006,S02,Central,Offline,2023-01-18,4,310,0.05
1018,C0053,P048,S04,Central,Offline,2023-01-19,4,851,0.05
1019,C0002,P004,S04,North,Online,2023-01-20,2,1674,0.0
1020,C0088,P030,S03,South,Online,2023-01-21,5,534,0.0
1021,C0158,P011,S03,South,Online,2023-01-22,4,879,0.0
1022,C0038,P030,S04,West,Offline,2023-01-23,4,1330,0.1
1023,C0130,P031,S04,West,Online,2023-01-24,1,538,0.1
1024,C0192,P024,S02,West,Online,2023-01-25,4,1902,0.0
1025,C0188,P009,S02,South,Online,2023-01-26,1,765,0.05
1026,C0021,P003,S03,East,Online,2023-01-27,5,1165,0.0
1027,C0161,P031,S01,Central,Offline,2023-01-28,5,510,0.1
1028,C0058,P040,S04,East,Offline,2023-01-29,5,1646,0.05
1029,C0022,P037,S02,East,Online,2023-01-30,3,905,0.1
1030,C0089,P036,S03,South,Online,2023-01-31,5,709,0.05
1031,C0049,P024,S02,East,Offline,2023-02-01,4,526,0.1
1032,C0059,P031,S04,North,Offline,2023-02-02,2,1398,0.05
1033,C0170,P006,S04,West,Online,2023-02-03,1,1571,0.05
1034,C0188,P002,S05,North,Offline,2023-02-04,3,1001,0.05
1035,C0015,P020,S01,Central,Offline,2023-02-05,5,1041,0.05
1036,C0190,P028,S05,West,Online,2023-02-06,5,841,0.15
1037,C0190,P011,S03,East,Offline,2023-02-07,2,1492,0.1
1038,C0175,P004,S02,Central,Offline,2023-02-08,2,1343,0.1
1039,C0190,P015,S03,West,Online,2023-02-09,3,1700,0.15
1040,C0051,P006,S04,East,Online,2023-02-10,1,1990,0.05
1041,C0108,P049,S05,North,Offline,2023-02-11,5,1355,0.05
1042,C0055,P030,S05,West,Online,2023-02-12,3,427,0.1
1043,C0064,P038,S05,East,Offline,2023-02-13,4,1566,0.15
1044,C0131,P002,S03,North,Online,2023-02-14,4,151,0.05
1045,C0051,P015,S04,Central,Offline,2023-02-15,3,475,0.05
1046,C0135,P011,S02,Central,Online,2023-02-16,5,362,0.05
1047,C0021,P008,S02,Central,Offline,2023-02-17,3,366,0.0
1048,C0073,P026,S03,Central,Offline,2023-02-18,5,458,0.15
1049,C0167,P045,S05,South,Offline,2023-02-19,2,1440,0.05
1050,C0018,P044,S01,West,Online,2023-02-20,3,1447,0.0
1051,C0132,P005,S03,West,Online,2023-02-21,5,1789,0.15
1052,C0089,P006,S03,South,Offline,2023-02-22,3,1993,0.05
1053,C0060,P026,S04,East,Offline,2023-02-23,3,751,0.1
1054,C0014,P004,S02,East,Online,2023-02-24,5,1686,0.0
1055,C0009,P019,S03,Central,Online,2023-02-25,5,1752,0.0
1056,C0090,P020,S03,North,Online,2023-02-26,1,1544,0.05
1057,C0053,P033,S05,East,Online,2023-02-27,3,145,0.05
1058,C0130,P020,S05,North,Online,2023-02-28,4,1944,0.0
1059,C0084,P049,S01,West,Online,2023-03-01,3,699,0.1
1060,C0092,P012,S04,North,Offline,2023-03-02,3,819,0.1
1061,C0111,P047,S01,West,Online,2023-03-03,5,1392,0.15
1062,C0188,P001,S05,South,Offline,2023-03-04,3,700,0.05
1063,C0199,P026,S02,South,Online,2023-03-05,3,480,0.1
1064,C0172,P014,S05,Central,Online,2023-03-06,4,217,0.15
1065,C0008,P038,S04,East,Offline,2023-03-07,5,1689,0.1
1066,C0175,P037,S05,Central,Offline,2023-03-08,3,215,0.05
1067,C0035,P011,S04,West,Online,2023-03-09,2,1753,0.15
1068,C0081,P036,S04,Central,Offline,2023-03-10,1,359,0.15
1069,C0164,P013,S04,North,Offline,2023-03-11,4,1198,0.15
1070,C0050,P043,S04,West,Offline,2023-03-12,3,1603,0.1
1071,C0104,P003,S04,South,Offline,2023-03-13,2,404,0.05
1072,C0132,P033,S02,East,Online,2023-03-14,3,106,0.15
1073,C0002,P006,S01,West,Offline,2023-03-15,3,465,0.0
1074,C0134,P050,S03,West,Online,2023-03-16,5,1757,0.05
1075,C0054,P010,S01,North,Online,2023-03-17,5,622,0.0
1076,C0106,P005,S04,East,Online,2023-03-18,5,1471,0.0
1077,C0004,P023,S02,South,Online,2023-03-19,2,1561,0.15
1078,C0054,P010,S05,West,Offline,2023-03-20,3,1338,0.15
1079,C0191,P044,S02,West,Offline,2023-03-21,1,528,0.1
1080,C0146,P002,S04,North,Online,2023-03-22,4,890,0.1
1081,C0044,P013,S02,Central,Online,2023-03-23,5,1621,0.1
1082,C0162,P040,S02,South,Online,2023-03-24,5,1663,0.05
1083,C0190,P002,S04,East,Online,2023-03-25,3,846,0.1
